jnstrans|date|txn|idr|bln|mth
VISA - INTERNATIONAL|01/30/2019|1284|1552600000|JAN2019|2019-01
PLUS - LOCAL|01/30/2019|167|168400000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/30/2019|2211|2819100000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/30/2019|2448|3194750000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/30/2019|415|427650000|JAN2019|2019-01
VISA - LOCAL|01/31/2019|40|37250000|JAN2019|2019-01
VISA - INTERNATIONAL|01/31/2019|1235|1603300000|JAN2019|2019-01
PLUS - LOCAL|01/31/2019|167|197900000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/31/2019|2275|3057200000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/31/2019|2525|3566750000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/31/2019|495|571950000|JAN2019|2019-01
VISA - LOCAL|02/01/2019|42|44950000|FEB2019|2019-02
VISA - INTERNATIONAL|02/01/2019|1392|1653450000|FEB2019|2019-02
PLUS - LOCAL|02/01/2019|192|224000000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/01/2019|2651|3526050000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/01/2019|2486|3346050000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/01/2019|545|617850000|FEB2019|2019-02
VISA - LOCAL|02/02/2019|51|63650000|FEB2019|2019-02
VISA - INTERNATIONAL|02/02/2019|1284|1452000000|FEB2019|2019-02
PLUS - LOCAL|02/02/2019|207|238350000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/02/2019|2620|3113400000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/02/2019|2319|3003650000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/02/2019|579|641000000|FEB2019|2019-02
VISA - LOCAL|02/03/2019|43|44350000|FEB2019|2019-02
VISA - INTERNATIONAL|02/03/2019|1170|1301200000|FEB2019|2019-02
PLUS - LOCAL|02/03/2019|191|179800000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/03/2019|2405|2814800000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/03/2019|2207|2593100000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/03/2019|527|539550000|FEB2019|2019-02
VISA - LOCAL|02/04/2019|57|71500000|FEB2019|2019-02
VISA - INTERNATIONAL|02/04/2019|1457|1847200000|FEB2019|2019-02
PLUS - LOCAL|02/04/2019|228|244700000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/04/2019|2928|3563450000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/04/2019|6993|8714100000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/04/2019|1758|1883900000|FEB2019|2019-02
VISA - LOCAL|02/05/2019|41|40550000|FEB2019|2019-02
VISA - INTERNATIONAL|02/05/2019|1301|1419050000|FEB2019|2019-02
PLUS - LOCAL|02/05/2019|174|168800000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/05/2019|2535|2836000000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/05/2019|2261|2683250000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/05/2019|509|461600000|FEB2019|2019-02
VISA - LOCAL|02/06/2019|41|37450000|FEB2019|2019-02
VISA - INTERNATIONAL|02/06/2019|1422|1663050000|FEB2019|2019-02
PLUS - LOCAL|02/06/2019|207|209200000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/06/2019|2668|3212550000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/06/2019|4809|5877450000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/06/2019|1125|1150100000|FEB2019|2019-02
VISA - LOCAL|02/07/2019|57|79900000|FEB2019|2019-02
VISA - INTERNATIONAL|02/07/2019|1268|1492350000|FEB2019|2019-02
PLUS - LOCAL|02/07/2019|240|254950000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/07/2019|2536|3086200000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/07/2019|2414|3120200000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/07/2019|622|690700000|FEB2019|2019-02
VISA - LOCAL|02/08/2019|42|54500000|FEB2019|2019-02
